"Date","Open","High","Low","Close"
"Apr 17, 2020","$794.94","$794.94","$788.20","$788.20"
"Apr 16, 2020","$802.06","$802.06","$802.06","$802.06"
"Apr 15, 2020","$796.15","$796.15","$791.95","$792.02"
"Apr 14, 2020","$789.13","$789.13","$789.13","$789.13"
"Apr 13, 2020","$760.94","$764.55","$757.05","$760.82"
"Apr 10, 2020","$761.16","$761.16","$761.16","$761.16"
"Apr 09, 2020","$750.22","$758.21","$750.22","$758.21"
"Apr 08, 2020","$742.60","$742.60","$742.60","$742.60"
"Apr 07, 2020","$749.02","$749.02","$749.02","$749.02"
"Apr 06, 2020","$750.82","$750.82","$750.82","$750.82"
"Apr 03, 2020","$734.71","$734.71","$734.71","$734.71"
"Apr 02, 2020","$742.50","$743.79","$740.87","$740.87"
"Apr 01, 2020","$731.52","$734.59","$729.71","$729.71"
"Mar 31, 2020","$731.72","$731.72","$731.72","$731.72"
"Mar 30, 2020","$729.66","$737.34","$729.66","$737.34"
"Mar 27, 2020","$761.26","$761.26","$751.01","$751.01"
"Mar 26, 2020","$738.61","$752.88","$738.61","$752.88"
"Mar 25, 2020","$745.16","$751.89","$745.16","$751.89"
"Mar 24, 2020","$674.58","$724.34","$674.58","$724.34"
"Mar 23, 2020","$632.91","$658.92","$630.91","$658.92"
"Mar 20, 2020","$634.46","$634.46","$624.21","$624.21"
"Mar 19, 2020","$638.34","$640.62","$600.41","$600.41"
"Mar 18, 2020","$673.41","$678.86","$619.08","$635.93"
"Mar 17, 2020","$672.87","$676.37","$672.87","$676.37"
"Mar 16, 2020","$772.52","$774.67","$676.95","$680.45"
"Mar 13, 2020","$799.10","$808.36","$766.63","$766.63"
"Mar 12, 2020","$867.25","$867.25","$769.85","$771.18"
"Mar 11, 2020","$881.15","$887.23","$868.19","$870.66"
"Mar 10, 2020","$879.93","$879.93","$877.45","$877.45"
"Mar 09, 2020","$888.68","$888.68","$867.82","$869.92"
"Mar 06, 2020","$907.98","$911.46","$907.98","$911.46"
"Mar 05, 2020","$873.70","$873.70","$871.24","$871.24"
"Mar 04, 2020","$879.28","$879.28","$879.28","$879.28"
"Mar 03, 2020","$873.90","$881.81","$873.90","$881.81"
"Mar 02, 2020","$866.03","$866.03","$866.03","$866.03"
"Feb 28, 2020","$869.65","$869.65","$869.65","$869.65"
"Feb 27, 2020","$923.91","$924.31","$903.32","$905.75"
"Feb 26, 2020","$938.52","$938.89","$917.78","$917.78"
"Feb 25, 2020","$931.52","$931.52","$931.52","$931.52"
"Feb 24, 2020","$969.33","$969.33","$969.33","$969.33"
"Feb 21, 2020","$980.27","$980.27","$978.71","$978.71"
"Feb 20, 2020","$998.90","$998.90","$982.10","$983.61"
"Feb 19, 2020","$1,010.97","$1,010.97","$1,010.97","$1,010.97"
"Feb 18, 2020","$996.64","$996.64","$995.71","$995.71"
"Feb 17, 2020","$973.67","$977.38","$973.67","$977.14"
"Feb 14, 2020","$976.65","$976.65","$968.71","$968.90"
"Feb 13, 2020","$968.52","$973.49","$968.14","$973.49"
"Feb 12, 2020","$966.85","$966.85","$966.85","$966.85"
"Feb 11, 2020","$974.94","$976.17","$974.94","$975.17"
"Feb 10, 2020","$975.76","$978.82","$966.28","$966.79"
"Feb 07, 2020","$970.54","$973.75","$970.54","$973.75"
"Feb 06, 2020","$966.30","$966.83","$966.10","$966.83"
"Feb 05, 2020","$969.71","$987.89","$969.71","$984.80"
"Feb 04, 2020","$969.03","$969.03","$969.03","$969.03"
"Feb 03, 2020","$971.97","$972.19","$971.97","$972.19"
"Jan 31, 2020","$964.12","$967.47","$964.12","$967.47"
"Jan 30, 2020","$983.42","$984.32","$982.58","$982.58"
"Jan 29, 2020","$994.98","$994.98","$980.75","$981.58"
"Jan 28, 2020","$991.82","$992.09","$991.82","$992.09"
"Jan 27, 2020","$988.80","$988.80","$988.80","$988.80"
"Jan 24, 2020","$1,013.75","$1,020.46","$1,008.69","$1,015.94"
"Jan 23, 2020","$1,008.01","$1,008.01","$1,008.01","$1,008.01"
"Jan 22, 2020","$1,005.03","$1,023.71","$1,005.03","$1,020.68"
"Jan 21, 2020","$1,005.02","$1,005.02","$1,005.02","$1,005.02"
"Jan 20, 2020","$1,023.12","$1,025.97","$1,023.12","$1,025.75"
"Jan 17, 2020","$1,026.29","$1,026.29","$1,026.29","$1,026.29"
"Jan 16, 2020","$1,020.25","$1,020.25","$1,007.96","$1,007.96"
"Jan 15, 2020","$994.96","$1,027.33","$994.96","$1,024.52"
"Jan 14, 2020","$987.18","$995.82","$986.47","$995.16"
"Jan 13, 2020","$978.51","$978.51","$978.51","$978.51"
"Jan 10, 2020","$975.44","$987.21","$975.44","$987.21"
"Jan 09, 2020","$970.24","$970.24","$970.24","$970.24"
"Jan 08, 2020","$961.16","$965.12","$958.06","$958.06"
"Jan 07, 2020","$977.12","$977.12","$974.68","$974.68"
"Jan 06, 2020","$987.74","$987.74","$967.20","$967.20"
"Jan 03, 2020","$984.55","$984.55","$984.55","$984.55"
"Jan 02, 2020","$983.09","$983.09","$983.09","$983.09"
